id,precision,recall,f1
676,1,0.740741,0.851064
677,1,1,1
678,1,1,1
679,0.941176,1,0.969697
680,1,0.37037,0.540541
681,1,0.4375,0.608696
682,1,0.9,0.947368
683,1,0.9,0.947368
684,1,1,1
685,0.0422961,1,0.0811594
686,0.85,0.515152,0.641509
687,0.961538,1,0.980392
688,0.962963,1,0.981132
689,1,1,1
690,0.5,1,0.666667
691,1,1,1
692,1,1,1
693,1,0.294118,0.454545
694,0.583333,1,0.736842
695,1,1,1
696,0.933333,1,0.965517
697,0.833333,1,0.909091
698,0.564516,1,0.721649
699,1,1,1
700,0.956522,0.956522,0.956522
701,0.916667,1,0.956522
702,1,1,1
703,0.928571,1,0.962963
704,0.962963,0.962963,0.962963
705,0.909091,1,0.952381
706,1,1,1
707,0.666667,1,0.8
708,0.942857,1,0.970588
709,1,0.818182,0.9
710,0.909091,1,0.952381
711,0.961538,1,0.980392
712,1,0.8,0.888889
713,1,1,1
714,0.961538,1,0.980392
715,0.395833,0.95,0.558824
716,1,0.954545,0.976744
717,0.96875,0.5,0.659574
718,1,1,1
719,1,1,1
720,0.928571,1,0.962963
721,1,0.818182,0.9
722,1,0.761905,0.864865
723,1,0.533333,0.695652
724,1,1,1
725,0.952381,1,0.97561
726,1,0.695652,0.820513
727,0.909091,1,0.952381
728,0.929825,0.913793,0.921739
729,0.979167,1,0.989474
730,0.939394,0.673913,0.78481
731,0.5,1,0.666667
732,1,0.818182,0.9
733,1,0.536585,0.698413
734,1,0.909091,0.952381
735,1,1,1
736,0.952381,1,0.97561
737,1,0.903226,0.949153
738,1,1,1
739,1,1,1
740,0.909091,1,0.952381
741,0.55,0.916667,0.6875
742,0.423077,1,0.594595
743,1,1,1
744,0.961538,1,0.980392
745,1,0.37037,0.540541
746,1,0.971429,0.985507
747,1,0.9375,0.967742
748,1,0.240741,0.38806
749,0.8125,1,0.896552
750,1,0.533333,0.695652
751,1,0.382979,0.553846
752,1,1,1
753,1,0.538462,0.7
754,0.44898,1,0.619718
755,1,1,1
756,0.909091,1,0.952381
757,0.973684,1,0.986667
758,1,1,1
759,0.916667,1,0.956522
760,1,0.9,0.947368
761,0.884615,1,0.938776
762,1,1,1
763,1,1,1
764,1,1,1
765,1,0.85,0.918919
766,0.666667,1,0.8
767,0.423077,1,0.594595
768,1,0.941176,0.969697
769,0.829268,1,0.906667
770,0.9375,1,0.967742
771,1,1,1
772,1,1,1
773,1,0.909091,0.952381
774,1,0.928571,0.962963
775,1,1,1
776,0.395833,0.95,0.558824
777,1,0.738095,0.849315
778,1,1,1
779,0.933333,1,0.965517
780,0.952381,1,0.97561
781,1,0.909091,0.952381
782,0.938776,0.901961,0.92
783,0.238095,1,0.384615
784,0.95,1,0.974359
785,1,1,1
786,1,1,1
787,1,1,1
788,1,1,1
789,1,0.928571,0.962963
790,0.423077,1,0.594595
791,0.764706,1,0.866667
792,0.764706,1,0.866667
793,0.954545,0.933333,0.94382
794,1,1,1
795,0.714286,1,0.833333
796,1,1,1
797,0.923077,1,0.96
798,1,1,1
799,0.944444,0.447368,0.607143
800,0.857143,1,0.923077
801,0.914894,0.977273,0.945055
802,1,1,1
803,0.961538,1,0.980392
804,0.575758,0.904762,0.703704
805,0.6,1,0.75
806,0.959184,0.959184,0.959184
807,1,0.5,0.666667
808,0.973451,0.797101,0.876494
809,0.923077,1,0.96
810,0.952381,0.952381,0.952381
811,1,1,1
812,0.175325,0.964286,0.296703
813,1,0.538462,0.7
814,1,0.9,0.947368
815,0.55,0.916667,0.6875
816,1,1,1
817,1,0.388889,0.56
818,1,0.818182,0.9
819,0.942857,1,0.970588
820,0.833333,1,0.909091
821,1,0.766667,0.867925
822,1,1,1
823,0.962963,0.764706,0.852459
824,1,0.607143,0.755556
825,0.897959,0.956522,0.926316
826,1,1,1
827,1,1,1
828,0.44898,1,0.619718
829,0.75,0.90411,0.819876
830,1,1,1
831,1,0.8,0.888889
832,1,0.685714,0.813559
833,0.833333,1,0.909091
834,1,0.738095,0.849315
835,0.833333,0.980392,0.900901
836,1,1,1
837,1,0.857143,0.923077
838,1,0.967742,0.983607
839,0.909091,1,0.952381
840,1,1,1
841,1,1,1
842,1,1,1
843,1,0.909091,0.952381
844,0.973451,0.797101,0.876494
845,1,0.9,0.947368
846,0.962963,0.702703,0.8125
847,1,1,1
848,0.909091,1,0.952381
849,0.962963,0.764706,0.852459
850,1,0.928571,0.962963
851,1,1,1
852,1,1,1
853,0.897959,0.956522,0.926316
854,0.909091,1,0.952381
855,1,1,1
856,1,1,1
857,0.75,1,0.857143
858,1,0.685714,0.813559
859,0.75,1,0.857143
860,0.75,1,0.857143
861,0.916667,1,0.956522
862,1,1,1
863,0.961538,1,0.980392
864,1,1,1
865,1,1,1
866,1,0.818182,0.9
867,1,0.22807,0.371429
868,1,0.820513,0.901408
869,1,1,1
870,0.970588,1,0.985075
871,0.395833,0.95,0.558824
872,0.95,0.558824,0.703704
873,0.952381,0.952381,0.952381
874,1,0.333333,0.5
875,0.575758,1,0.730769
876,0.95,1,0.974359
877,1,1,1
878,0.909091,1,0.952381
879,0.954545,0.617647,0.75
880,0.954545,0.933333,0.94382
881,1,1,1
882,0.882353,0.535714,0.666667
883,1,0.685714,0.813559
884,0.938776,0.901961,0.92
885,1,1,1
886,0.575758,1,0.730769
887,0.608696,0.736842,0.666667
888,0.583333,1,0.736842
889,1,0.818182,0.9
890,1,0.9375,0.967742
891,1,0.909091,0.952381
892,1,1,1
893,0.75,1,0.857143
894,1,1,1
895,1,0.9,0.947368
896,1,1,1
897,0.775862,1,0.873786
898,1,0.8,0.888889
899,1,0.9,0.947368
900,0.956522,0.956522,0.956522
901,1,0.416667,0.588235
902,0.423077,1,0.594595
903,0.941176,1,0.969697
904,1,1,1
905,1,1,1
906,0.952381,0.952381,0.952381
907,1,1,1
908,1,0.8,0.888889
909,0.44898,1,0.619718
910,1,1,1
911,0.961538,1,0.980392
912,1,1,1
913,1,0.96,0.979592
914,1,0.941176,0.969697
915,0.75,1,0.857143
916,1,1,1
917,1,0.738095,0.849315
918,1,1,1
919,0.714286,1,0.833333
920,0.583333,1,0.736842
921,0.705882,0.489796,0.578313
922,1,0.823529,0.903226
923,0.588235,1,0.740741
924,1,0.809524,0.894737
925,1,0.846154,0.916667
926,0.909091,1,0.952381
927,0.894737,1,0.944444
928,0.7,1,0.823529
929,1,0.909091,0.952381
930,1,0.9,0.947368
931,0.961538,0.535714,0.688073
932,1,0.740741,0.851064
933,0.923077,1,0.96
934,1,1,1
935,1,0.709677,0.830189
936,1,1,1
937,0.575758,1,0.730769
938,0.346667,0.928571,0.504854
939,0.973684,0.860465,0.91358
940,1,1,1
941,0.8,1,0.888889
942,1,1,1
943,1,0.818182,0.9
944,0.772727,1,0.871795
945,1,1,1
946,0.941176,1,0.969697
947,0.961538,1,0.980392
948,1,0.9375,0.967742
949,1,1,1
950,0.923077,1,0.96
951,0.823529,1,0.903226
952,0.846154,1,0.916667
953,0.916667,1,0.956522
954,1,1,1
955,1,0.823529,0.903226
956,0.773585,1,0.87234
957,0.9375,1,0.967742
958,0.733333,1,0.846154
959,0.761905,0.864865,0.810127
960,0.961538,0.735294,0.833333
961,0.962264,0.335526,0.497561
962,0.337662,1,0.504854
963,0.5,1,0.666667
964,0.407407,1,0.578947
965,1,0.571429,0.727273
966,1,0.909091,0.952381
967,1,1,1
968,0.583333,1,0.736842
969,0.764706,1,0.866667
970,1,1,1
971,0.954545,0.933333,0.94382
972,0.423077,1,0.594595
973,1,0.9375,0.967742
974,0.833333,1,0.909091
975,0.958333,0.589744,0.730159
976,0.961538,1,0.980392
977,1,1,1
978,0.423077,1,0.594595
979,0.875,1,0.933333
980,1,1,1
981,0.941176,0.727273,0.820513
982,1,1,1
983,0.588235,1,0.740741
984,0.945205,0.971831,0.958333
985,0.896552,0.962963,0.928571
986,1,1,1
987,1,0.791667,0.883721
988,1,1,1
989,1,1,1
990,0.959184,0.959184,0.959184
991,1,1,1
992,0.916667,1,0.956522
993,1,1,1
994,0.741379,1,0.851485
995,1,1,1
996,0.961538,0.961538,0.961538
997,0.575758,1,0.730769
998,1,1,1
999,0.909091,1,0.952381
1000,1,1,1
1001,1,1,1
1002,0.423077,1,0.594595
1003,1,1,1
1004,0.909091,1,0.952381
1005,0.583333,1,0.736842
1006,1,0.615385,0.761905
1007,1,0.863636,0.926829
1008,0.967742,0.882353,0.923077
1009,0.916667,1,0.956522
1010,0.909091,1,0.952381
1011,1,1,1
1012,1,1,1
1013,1,1,1
1014,1,1,1
1015,0.666667,1,0.8
1016,0.76,1,0.863636
1017,0.884615,0.92,0.901961
1018,0.933333,1,0.965517
1019,0.923077,1,0.96
1020,1,1,1
1021,1,1,1
1022,0.666667,1,0.8
1023,0.706897,1,0.828283
1024,0.583333,1,0.736842
1025,0.939394,0.673913,0.78481
1026,0.8125,1,0.896552
1027,1,1,1
1028,1,0.928571,0.962963
1029,1,0.6875,0.814815
1030,1,1,1
1031,0.423077,1,0.594595
1032,1,1,1
1033,1,0.416667,0.588235
1034,0.933333,1,0.965517
1035,1,0.954545,0.976744
1036,1,1,1
1037,0.933333,1,0.965517
1038,1,0.941176,0.969697
1039,1,1,1
1040,0.5,1,0.666667
1041,0.939394,0.607843,0.738095
1042,1,1,1
1043,1,1,1
1044,0.267442,1,0.422018
1045,0.875,0.913043,0.893617
1046,0.983333,0.967213,0.975207
1047,1,1,1
1048,0.962963,1,0.981132
1049,0.868421,0.916667,0.891892
1050,0.95,0.558824,0.703704
1051,0.761905,1,0.864865
1052,0.75,1,0.857143
1053,1,0.944444,0.971429
1054,0.0422961,1,0.0811594
1055,1,0.740741,0.851064
1056,1,0.857143,0.923077
1057,1,1,1
1058,1,0.625,0.769231
1059,1,1,1
1060,0.72,1,0.837209
1061,0.423077,1,0.594595
1062,0.842105,0.761905,0.8
1063,1,1,1
1064,0.0719424,1,0.134228
1065,1,1,1
1066,0.733333,1,0.846154
1067,0.583333,1,0.736842
1068,0.653846,1,0.790698
1069,0.857143,1,0.923077
1070,0.928571,1,0.962963
1071,0.583333,1,0.736842
1072,0.961538,1,0.980392
1073,0.289474,1,0.44898
1074,0.8125,1,0.896552
1075,1,0.944444,0.971429
1076,0.961538,1,0.980392
1077,0.8,0.333333,0.470588
1078,1,1,1
1079,0.962963,1,0.981132
1080,0.666667,1,0.8
1081,0.769231,1,0.869565
