id,precision,recall,f1
359,0.578947,0.785714,0.666667
360,0.208333,1,0.344828
361,0.102564,0.363636,0.16
362,0.961538,0.833333,0.892857
363,0.48,0.666667,0.55814
364,0.764706,0.866667,0.8125
365,0.235669,0.787234,0.362745
366,0.363636,0.125,0.186047
367,0.360656,0.666667,0.468085
368,0.693069,0.660377,0.676329
369,0.722222,0.928571,0.8125
370,0.952381,0.909091,0.930233
371,0.227273,0.9375,0.365854
372,0.875,0.518519,0.651163
373,0.2,0.9,0.327273
374,0.127273,0.933333,0.224
375,1,0.0526316,0.1
376,0.6,0.346154,0.439024
377,1,0.486486,0.654545
378,0.14,1,0.245614
379,1,0.727273,0.842105
380,0.741935,0.227723,0.348485
381,0.256098,0.415842,0.316981
382,1,0.047619,0.0909091
383,0.186047,0.842105,0.304762
384,0.78125,0.892857,0.833333
385,0.516129,0.941176,0.666667
386,0.333333,0.785714,0.468085
387,1,0.1,0.181818
388,0.193878,0.95,0.322034
389,1,0.302752,0.464789
390,0.666667,0.52381,0.586667
391,0.65,0.590909,0.619048
392,0.333333,0.666667,0.444444
393,0.173913,0.4,0.242424
394,0.614286,0.754386,0.677165
395,1,0.272727,0.428571
396,0.75,1,0.857143
397,0.166667,0.545455,0.255319
398,0.4,0.545455,0.461538
399,0.0386905,1,0.0744986
400,0.102041,0.909091,0.183486
401,0.0824742,0.470588,0.140351
402,0.52,0.8125,0.634146
403,0.428571,0.75,0.545455
404,0.916667,1,0.956522
405,0.136842,1,0.240741
406,0.352941,0.5,0.413793
407,0.454545,1,0.625
408,1,0.0769231,0.142857
409,0.188406,0.928571,0.313253
410,0.222222,0.266667,0.242424
411,1,0.047619,0.0909091
412,0.44186,0.904762,0.59375
413,0.4375,0.954545,0.6
414,0.454545,0.238095,0.3125
415,0.571429,0.533333,0.551724
416,0.7,0.35,0.466667
417,0.133333,0.25,0.173913
418,0.303279,0.637931,0.411111
419,0.157303,0.411765,0.227642
420,0.0757576,1,0.140845
421,0.260274,0.95,0.408602
422,0.705882,0.857143,0.774194
423,0.0916335,0.244681,0.133333
424,0.392857,0.785714,0.52381
425,0.916667,0.647059,0.758621
426,1,0.1,0.181818
427,1,0.1,0.181818
428,0.237288,0.875,0.373333
429,0.545455,0.9,0.679245
430,0.679245,0.705882,0.692308
431,1,0.384615,0.555556
432,0.132075,0.166667,0.147368
433,0.136364,0.166667,0.15
434,0.545455,0.857143,0.666667
435,0.710526,0.369863,0.486486
436,1,0.1,0.181818
437,0.590909,0.722222,0.65
438,0.8,0.25,0.380952
439,0.935484,0.604167,0.734177
440,1,0.0833333,0.153846
441,0.152174,0.733333,0.252046
442,0.175,0.5,0.259259
443,0.0513699,1,0.0977199
444,0.0969529,0.833333,0.173697
445,1,0.578947,0.733333
446,0.140187,0.882353,0.241935
447,0.322581,1,0.487805
448,0.208333,0.238095,0.222222
449,0.333333,0.5,0.4
450,0.173913,0.666667,0.275862
451,0.102941,0.583333,0.175
452,0.2,1,0.333333
453,1,0.0833333,0.153846
454,0.846154,0.916667,0.88
455,0.681818,0.731707,0.705882
456,0.590909,0.928571,0.722222
457,0.851852,0.511111,0.638889
458,0.714286,0.454545,0.555556
459,1,0.0769231,0.142857
460,0.216561,0.693878,0.330097
461,0.666667,0.148148,0.242424
462,0.282051,0.916667,0.431373
463,0.6875,0.186441,0.293333
464,0.454545,1,0.625
465,0.3,0.705882,0.421053
466,0.625,0.15625,0.25
467,0.0869565,0.25,0.129032
468,0.152941,0.928571,0.262626
469,1,0.0909091,0.166667
470,0.06875,1,0.128655
471,0.846154,1,0.916667
472,0.184758,0.701754,0.292505
473,1,0.888889,0.941176
474,0.794872,1,0.885714
475,0.423077,1,0.594595
476,0.75,0.272727,0.4
477,0.198113,0.677419,0.306569
478,0.491803,0.909091,0.638298
479,0.826923,0.441026,0.575251
480,0.877193,0.769231,0.819672
481,0.0887097,0.785714,0.15942
482,0.964286,1,0.981818
483,1,0.0714286,0.133333
484,0.355263,0.931034,0.514286
485,0.909091,0.952381,0.930233
486,0.384615,0.294118,0.333333
487,0.530612,0.928571,0.675325
488,0.5,0.454545,0.47619
489,0.25,0.375,0.3
490,0.0854701,1,0.15748
491,0.314465,0.892857,0.465116
492,0.492537,0.733333,0.589286
493,0.333333,0.3,0.315789
494,0.326923,1,0.492754
